學號,性別,分發宿舍,分發寢室,分發床號
40909026E,女,女一舍,5111,3
40920120L,女,女一舍,5111,4
40820124L,女,女一舍,5112,2
40826013L,女,女一舍,5112,3
40707218E,女,女一舍,5113,3
40830001A,女,女一舍,5116,1
40830042A,女,女一舍,5116,2
40830043A,女,女一舍,5116,3
41006227E,女,女一舍,5116,4
41006225E,女,女一舍,5116,5
41006230E,女,女一舍,5116,6
40957004O,女,女一舍,5118,3
40957019O,女,女一舍,5118,4
40957023O,女,女一舍,5118,6
40905026E,女,女一舍,5119,1
41007240E,女,女一舍,5119,2
40906107E,女,女一舍,5119,3
41023116L,女,女一舍,5119,4
41023113L,女,女一舍,5119,5
40905011E,女,女一舍,5119,6
40906205E,女,女一舍,5120,2
40906206E,女,女一舍,5120,3
40807242E,女,女一舍,5120,4
40807122E,女,女一舍,5120,5
40760221T,女,女一舍,5126,1
40820327L,女,女一舍,5126,2
40920129L,女,女一舍,5126,3
41013027E,女,女一舍,5126,4
41084238I,女,女一舍,5126,5
40806236E,女,女一舍,5127,1
40860218T,女,女一舍,5127,2
40860222T,女,女一舍,5127,3
40806231E,女,女一舍,5127,4
40884254I,女,女一舍,5127,6
40909043E,女,女一舍,5128,1
41009017E,女,女一舍,5128,2
40930061A,女,女一舍,5128,3
40909039E,女,女一舍,5128,4
41011013E,女,女一舍,5128,5
41000215E,女,女一舍,5129,1
40920234L,女,女一舍,5129,2
40920305L,女,女一舍,5129,3
40920304L,女,女一舍,5129,4
41000102E,女,女一舍,5129,5
41002028E,女,女一舍,5129,6
40901030E,女,女一舍,5130,1
40923121L,女,女一舍,5130,2
40923111L,女,女一舍,5130,3
40901033E,女,女一舍,5130,4
40923122L,女,女一舍,5130,5
40901036E,女,女一舍,5130,6
40990103M,女,女一舍,5131,1
40892022M,女,女一舍,5131,2
40892014M,女,女一舍,5131,3
40992006M,女,女一舍,5131,4
41090215M,女,女一舍,5131,5
41000227E,女,女一舍,5131,6
40822002L,女,女一舍,5132,1
40943203S,女,女一舍,5132,2
40920132L,女,女一舍,5132,3
40900113E,女,女一舍,5132,4
40943109S,女,女一舍,5132,5
40920124L,女,女一舍,5132,6
41090104M,女,女一舍,5135,1
41090219M,女,女一舍,5135,2
40984143I,女,女一舍,5135,3
40984146I,女,女一舍,5135,4
41090212M,女,女一舍,5135,5
40984133I,女,女一舍,5135,6
41072051H,女,女一舍,5136,1
40972040H,女,女一舍,5136,2
40984145I,女,女一舍,5136,3
40984126I,女,女一舍,5136,4
40984114I,女,女一舍,5136,5
41072017H,女,女一舍,5136,6
41072053H,女,女一舍,5137,1
40972042H,女,女一舍,5137,2
40920303L,女,女一舍,5137,3
40983057I,女,女一舍,5137,4
40972047H,女,女一舍,5137,5
40984138I,女,女一舍,5137,6
41007143E,女,女一舍,5139,1
41007202E,女,女一舍,5139,2
41090229M,女,女一舍,5139,3
41090118M,女,女一舍,5139,4
41007139E,女,女一舍,5139,5
41090203M,女,女一舍,5139,6
40923229L,女,女一舍,5140,1
40923223L,女,女一舍,5140,2
40923231L,女,女一舍,5140,3
40920314L,女,女一舍,5140,4
40920308L,女,女一舍,5140,5
40920312L,女,女一舍,5140,6
40957038O,女,女一舍,5141,1
40907113E,女,女一舍,5141,2
40907106E,女,女一舍,5141,3
40907117E,女,女一舍,5141,4
40957053O,女,女一舍,5141,5
40957048O,女,女一舍,5141,6
40971129H,女,女一舍,5142,1
40706136E,女,女一舍,5142,2
40843132S,女,女一舍,5142,3
40984105I,女,女一舍,5142,4
40872046H,女,女一舍,5142,5
41072037H,女,女一舍,5142,6
41026025L,女,女一舍,5143,1
41026024L,女,女一舍,5143,2
41026021L,女,女一舍,5143,3
40984261I,女,女一舍,5143,4
40926018L,女,女一舍,5143,5
40968040T,女,女一舍,5143,6
40970019H,女,女一舍,5144,1
40990124M,女,女一舍,5144,2
40990118M,女,女一舍,5144,3
40984267I,女,女一舍,5144,4
40990120M,女,女一舍,5144,5
40971231H,女,女一舍,5144,6
40907128E,女,女一舍,5145,1
40907130E,女,女一舍,5145,2
40926001L,女,女一舍,5145,3
40907135E,女,女一舍,5145,4
40921206L,女,女一舍,5145,5
40926019L,女,女一舍,5145,6
41006124E,女,女一舍,5146,1
41068017T,女,女一舍,5146,2
41007239E,女,女一舍,5146,3
41007124E,女,女一舍,5146,4
40968041T,女,女一舍,5146,5
41006228E,女,女一舍,5146,6
40942242S,女,女一舍,5147,1
40923214L,女,女一舍,5147,2
40823114L,女,女一舍,5147,3
40923117L,女,女一舍,5147,4
40923135L,女,女一舍,5147,5
40951035S,女,女一舍,5147,6
41000122E,女,女一舍,5148,1
41000120E,女,女一舍,5148,2
41000903E,女,女一舍,5148,3
41000231E,女,女一舍,5148,4
40920119L,女,女一舍,5148,5
40942240S,女,女一舍,5148,6
41020203L,女,女一舍,5150,1
41068014T,女,女一舍,5150,2
41084268I,女,女一舍,5150,3
41020218L,女,女一舍,5150,4
41020217L,女,女一舍,5150,5
41020316L,女,女一舍,5150,6
40920318L,女,女一舍,5201,1
40923113L,女,女一舍,5201,2
40923114L,女,女一舍,5201,3
40923128L,女,女一舍,5201,4
40923116L,女,女一舍,5201,5
41020125L,女,女一舍,5201,6
40921233L,女,女一舍,5202,1
40920235L,女,女一舍,5202,2
40920325L,女,女一舍,5202,3
40921229L,女,女一舍,5202,4
40921230L,女,女一舍,5202,5
41020220L,女,女一舍,5202,6
40901020E,女,女一舍,5203,1
41020219L,女,女一舍,5203,2
40900131E,女,女一舍,5203,3
40900132E,女,女一舍,5203,4
40900133E,女,女一舍,5203,5
40900209E,女,女一舍,5203,6
40884251I,女,女一舍,5204,1
40901006E,女,女一舍,5204,2
40884255I,女,女一舍,5204,3
40884245I,女,女一舍,5204,4
40901008E,女,女一舍,5204,5
40884248I,女,女一舍,5204,6
40901016E,女,女一舍,5205,1
41090112M,女,女一舍,5205,2
41009041E,女,女一舍,5205,3
41009042E,女,女一舍,5205,4
41009038E,女,女一舍,5205,5
40901021E,女,女一舍,5205,6
40992018M,女,女一舍,5206,1
40983022I,女,女一舍,5206,2
40983001I,女,女一舍,5206,3
40983004I,女,女一舍,5206,4
40983018I,女,女一舍,5206,5
40901025E,女,女一舍,5206,6
40923220L,女,女一舍,5207,1
41071204H,女,女一舍,5207,2
40923219L,女,女一舍,5207,3
40926011L,女,女一舍,5207,4
40926002L,女,女一舍,5207,5
41071122H,女,女一舍,5207,6
40984132I,女,女一舍,5208,1
40990132M,女,女一舍,5208,2
40990133M,女,女一舍,5208,3
40990210M,女,女一舍,5208,4
40990209M,女,女一舍,5208,5
40943229S,女,女一舍,5208,6
41030053A,女,女一舍,5209,1
41005030E,女,女一舍,5209,2
41005011E,女,女一舍,5209,3
40920116L,女,女一舍,5209,4
40906135E,女,女一舍,5209,5
40906136E,女,女一舍,5209,6
40884247I,女,女一舍,5210,1
40907202E,女,女一舍,5210,2
40984253I,女,女一舍,5210,3
40984252I,女,女一舍,5210,4
40907203E,女,女一舍,5210,5
40884252I,女,女一舍,5210,6
40930048A,女,女一舍,5211,1
40930045A,女,女一舍,5211,2
41092024M,女,女一舍,5211,3
41092019M,女,女一舍,5211,4
41092021M,女,女一舍,5211,5
41092010M,女,女一舍,5211,6
40900216E,女,女一舍,5212,1
40990224M,女,女一舍,5212,2
40990232M,女,女一舍,5212,3
40971102H,女,女一舍,5212,4
40971105H,女,女一舍,5212,5
40906234E,女,女一舍,5212,6
41071119H,女,女一舍,5213,1
41071215H,女,女一舍,5213,2
41009035E,女,女一舍,5213,3
41073106H,女,女一舍,5213,4
41073156H,女,女一舍,5213,5
41073124H,女,女一舍,5213,6
41002015E,女,女一舍,5214,1
40984218I,女,女一舍,5214,2
41002020E,女,女一舍,5214,3
41002045E,女,女一舍,5214,4
40983006I,女,女一舍,5214,5
41002033E,女,女一舍,5214,6
41084219I,女,女一舍,5215,1
41084207I,女,女一舍,5215,2
41084205I,女,女一舍,5215,3
41084264I,女,女一舍,5215,4
41023122L,女,女一舍,5215,5
41023119L,女,女一舍,5215,6
40975032H,女,女一舍,5216,1
41090222M,女,女一舍,5216,2
41006140E,女,女一舍,5216,3
41090209M,女,女一舍,5216,4
41090208M,女,女一舍,5216,5
40973022H,女,女一舍,5216,6
40971230H,女,女一舍,5217,1
40992008M,女,女一舍,5217,2
40970002H,女,女一舍,5217,3
40971205H,女,女一舍,5217,4
40971221H,女,女一舍,5217,5
40971220H,女,女一舍,5217,6
41057058O,女,女一舍,5218,1
41057057O,女,女一舍,5218,2
41057029O,女,女一舍,5218,3
40992020M,女,女一舍,5218,4
41057007O,女,女一舍,5218,5
41057008O,女,女一舍,5218,6
40992004M,女,女一舍,5219,1
40900102E,女,女一舍,5219,2
40868017T,女,女一舍,5219,3
40801041E,女,女一舍,5219,4
40872005H,女,女一舍,5219,5
40921241L,女,女一舍,5219,6
40892012M,女,女一舍,5220,1
41022060L,女,女一舍,5220,2
41022056L,女,女一舍,5220,3
41022057L,女,女一舍,5220,4
41022054L,女,女一舍,5220,5
41022058L,女,女一舍,5220,6
40906221E,女,女一舍,5221,1
40907105E,女,女一舍,5221,2
40906207E,女,女一舍,5221,3
40906239E,女,女一舍,5221,4
40992014M,女,女一舍,5221,5
40909042E,女,女一舍,5221,6
40992016M,女,女一舍,5222,1
40920324L,女,女一舍,5222,2
40920329L,女,女一舍,5222,3
40920332L,女,女一舍,5222,4
40920335L,女,女一舍,5222,5
40951034S,女,女一舍,5222,6
40911004E,女,女一舍,5223,1
40911005E,女,女一舍,5223,2
40992021M,女,女一舍,5223,3
40911012E,女,女一舍,5223,4
40913004E,女,女一舍,5223,5
40913011E,女,女一舍,5223,6
40902006E,女,女一舍,5224,1
40902014E,女,女一舍,5224,2
40957003O,女,女一舍,5224,3
40902011E,女,女一舍,5224,4
40902019E,女,女一舍,5224,5
40902021E,女,女一舍,5224,6
